id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958381358608369746,Simple 1BR Apt. Value. Privacy.,452636804,Jamie,,Randwick,-33.91025,151.25186,Entire home/apt,,3,13,2024-03-31,1.38,1,0,13,PID-STRA-55310
958518367651337568,Elegant CBD Studio: King Bed or 2 Singles,203909694,Brandon,,Sydney,-33.87811295173001,151.20780467698714,Entire home/apt,243,2,21,2024-05-13,2.13,7,37,21,Exempt
958522536167957705,Quiet Home with Pool&Gym - 5min to Hospital & Uni,44869453,Ernest,,Ryde,-33.77969619949548,151.11383434267046,Entire home/apt,190,2,11,2024-05-18,1.27,27,69,11,Exempt
958531700030191949,"Luxe 2BR Apartment: King Bed, Free Parking, CBD",203909694,Brandon,,Sydney,-33.87776618015576,151.20731690366256,Entire home/apt,459,2,19,2024-05-16,2.00,7,35,19,Exempt
958545826150303444,"Luxe 3BR CBD Skyhome: Free Parking, 2 King Beds",203909694,Brandon,,Sydney,-33.87805948547614,151.2066429330927,Entire home/apt,453,2,20,2024-05-25,2.17,7,118,20,Exempt
958553343552642451,"New Stylish house, beautiful and warm home.",518138532,Nhu,,City Of Kogarah,-33.98652,151.09744,Entire home/apt,600,2,3,2024-01-07,0.36,1,39,3,PID-STRA-55203
958563491826630487,Peaceful stay - Steps away to Westmead hospital,63851568,Serena,,Parramatta,-33.8077,150.99315,Entire home/apt,210,3,3,2024-05-30,0.33,10,90,3,Exempt
958756886990824217,Blu Ocean Views,101984651,Rita,,Warringah,-33.7327480876833,151.29887889100434,Entire home/apt,629,2,4,2024-05-05,1.02,1,179,4,PID-STRA-59347
958819248267376824,"Harbourside, next to the ferry, oversized & views",35053498,El,,Manly,-33.79925,151.28642,Entire home/apt,323,3,10,2024-05-24,1.58,1,179,10,Exempt
958892324665800050,Cozy Apt w Park View by Stadiums,46922116,OP Living,,Auburn,-33.8491238,151.0742178,Entire home/apt,264,1,14,2024-04-27,1.44,8,100,14,PID-STRA-55228
958914921466575927,Imagine house,347450064,Sara,,Sydney,-33.88135099732524,151.17671858386623,Entire home/apt,262,4,1,2024-01-05,0.19,2,180,1,PID-STRA-55659
959022346494861071,Adorable 1 Bedroom Newtown Studio,8857852,Dave,,Marrickville,-33.9007764596733,151.17632781857137,Entire home/apt,187,2,40,2024-06-07,4.24,1,344,40,PID-STRA-55238
959040509503299419,City Skyline Views CBD Apartment - 1602,522241360,Luana,,Sydney,-33.8791086,151.2051584,Entire home/apt,314,1,4,2024-03-02,0.47,2,168,4,PID-STRA-55240
959049347138762709,Studio In Prime CBD Location,477814690,James,,Sydney,-33.8652782476517,151.20645362772433,Entire home/apt,300,2,27,2024-05-06,3.10,19,28,27,PID-STRA-55334
959073513891570239,Bondi Beach Arc Masterpiece Home,505272961,Sol,,Waverley,-33.88588,151.26798,Entire home/apt,1071,7,3,2023-12-16,0.34,3,238,3,PID-STRA-39522
959085703562511288,Constance by TCC,100552972,The Curated Collection,,Pittwater,-33.6176868,151.3334837,Entire home/apt,1749,1,0,,,39,364,0,PID-STRA-15184
959199921150550120,Entire condo in Rouse Hills,132288219,Gao,,Blacktown,-33.68603,150.91821,Entire home/apt,165,5,24,2024-05-03,2.60,56,81,24,PID-STRA-54945
959216902570167128,Stylish Designed Terrace in the Rocks,88800829,Catherine,,Sydney,-33.85843759262468,151.20348971762317,Entire home/apt,359,5,23,2024-06-02,2.58,12,214,23,PID-STRA-55247
959232117733346411,Located minutes from attractions!,26721554,Nancy,,Sydney,-33.87958108673878,151.21475747247197,Entire home/apt,92,1,20,2024-05-11,2.08,4,72,20,PID-STRA-30494
959547065632754446,Jewel in The West,118021719,Jenny,,Fairfield,-33.86652,150.93259,Entire home/apt,450,3,6,2024-03-24,0.96,4,12,6,PID-STRA-26361
959620708303922141,Sun-drenched City Retreat! Mins' walk > Central,407392360,Furnished Properties,,Sydney,-33.88514,151.20245,Entire home/apt,161,7,10,2024-04-30,1.12,57,122,10,PID-STRA-54997
959627722615193473,"4 bed house, pool, opposite park",2193052,Kelly,,Willoughby,-33.79936425875839,151.20686229661194,Entire home/apt,550,3,5,2024-01-08,0.56,1,21,5,PID-STRA-55279
959632923957728376,Sunset Swirl—A Pastel Dream by the Beach,283498077,Dom,,Randwick,-33.9185467,151.2576841,Entire home/apt,253,2,33,2024-04-22,3.50,34,356,33,PID-STRA-55567
959663069656834504,Avalon Beach house Oasis,6724722,Jess,,Pittwater,-33.63020651657481,151.32192950695753,Entire home/apt,360,2,6,2024-01-22,0.69,1,115,6,PID-STRA-55586
959663202789952288,Cherry Way: A Parkside Family Townhouse,270132187,Ween,,Sydney,-33.8957218,151.2286421,Entire home/apt,,2,14,2024-04-21,1.60,39,1,14,PID-STRA-49929
959666073132808927,"The Sanctuary, meters from the beach & aircon",12658677,Kim,,Waverley,-33.89061931209253,151.28262410422977,Entire home/apt,139,2,31,2024-04-21,3.11,7,235,31,PID-STRA-55147
959670898193791943,Sunny Sanctuary,825122,Sarah,,Canterbury,-33.91294817301872,151.1256523825492,Entire home/apt,,3,3,2024-02-25,0.35,1,263,3,PID-STRA-55308
959681182165301938,Superb Apt in Heart of Sydney's CBD : Free Parking,5215877,Milan,,Sydney,-33.87228,151.20324,Entire home/apt,294,2,63,2024-06-07,6.45,51,188,63,PID-STRA-55206
959698820078918229,Resort Style Apartment @Waterloo,102019850,Susie,,Sydney,-33.8985834,151.2120354,Entire home/apt,189,5,4,2023-10-23,0.44,1,56,4,PID-STRA-55269
959701750042026872,Camilla's Villa,25014687,Cobbold And Co,,Woollahra,-33.88369,151.24369,Entire home/apt,1770,5,0,,,39,365,0,Exempt
959706287263738055,The Sea House,25014687,Cobbold And Co,,Randwick,-33.91528,151.26058,Entire home/apt,11800,1,0,,,39,365,0,Exempt
959720044469836464,Heart of Darlinghurst Home close to Sydney CBD,165140060,Jam,,Sydney,-33.87609,151.22436,Entire home/apt,392,3,31,2024-05-26,3.15,10,71,31,PID-STRA-55213
959760300016197517,Stunning Harbour Bridge and Opera House Views!,347854233,Joel,,Sydney,-33.876383,151.2216367,Entire home/apt,295,1,25,2024-05-06,2.53,10,190,25,PID-STRA-55276
959768104271091031,Mid Century Beach Home Avalon Beach,19066107,Kylie,,Pittwater,-33.631425300021405,151.32702909080382,Entire home/apt,320,14,0,,,3,226,0,PID-STRA-47119
959779050631751918,The Duke by The Scout Group,43736801,The Scout Group,,Marrickville,-33.8998777,151.1361552,Entire home/apt,394,90,5,2023-10-29,0.57,4,134,5,PID-STRA-55065
959838410502861974,Heart of Manly - Quiet 1 Bed between Beach/Harbour,58493643,Toni,,Manly,-33.799067124776236,151.28632143068847,Entire home/apt,247,3,15,2024-04-18,1.64,23,165,15,PID-STRA-55244
959939069653265528,A room with shared place in Wynward,298574709,Joohyun,,Sydney,-33.8673285,151.2056388,Private room,183,4,16,2024-05-21,1.66,1,29,16,Exempt
959943704992775870,Backyard studio 600m walk to Avalon Beach,5406115,Pip,,Pittwater,-33.635873294556504,151.32546365261078,Entire home/apt,219,1,26,2024-06-08,4.22,1,166,26,PID-STRA-59235
960025759772253914,5 bedroom new house (no stairs),369908172,Hyun,,Blacktown,-33.68786076914081,150.81605696878043,Entire home/apt,380,3,6,2024-04-29,0.70,11,228,6,PID-STRA-55294
